Sección,Beat #,Texto del guión,Shot (descripción),Stock ID,Duración (s),Inicio,Fin,CapCut Motion,Ref. hoja Shots
MARCA 5 - BORGES,139,pasar antes por refinado.,"Trees and olive groves in green landscapes, Granada, Spain",7055616,1.4,06:54.10,06:55.50,ZOOM OUT SLOW · 4s,granada_groves
MARCA 5 - BORGES,140,"Cuanto más lejos está un aceite de la categoría lampante,",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,06:55.50,06:58.90,STATIC,shelf_oils
MARCA 5 - BORGES,141,"más caro es producirlo, y más incentivo tiene la industria",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,06:58.90,07:02.30,PAN LEFT · 4s,shelf_oils
MARCA 5 - BORGES,142,para mezclar hacia abajo sin que se note en el sabor final.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,4.1,07:02.30,07:06.40,DIAGONAL PAN + ZOOM IN · 4s,shelf_oils
MARCA 5 - BORGES,143,"Ese picor de garganta, por cierto, tiene nombre: oleocanal.",Aerial View of a Busy Container Port,5883923,3.1,07:06.40,07:09.50,ZOOM IN FAST · 2s,port_containers
MARCA 5 - BORGES,144,Es un compuesto que se forma de manera natural en,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.4,07:09.50,07:12.90,PAN UP · 4s,world_map_port
MARCA 5 - BORGES,145,el aceite de oliva fresco y que produce una sensación,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.4,07:12.90,07:16.30,ZOOM IN SLOW · 4s,world_map_port
MARCA 5 - BORGES,146,"de ardor en la parte de atrás de la garganta,","Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.4,07:16.30,07:19.70,PAN RIGHT · 4s,world_map_port
MARCA 5 - BORGES,147,casi idéntica a la que produce el ibuprofeno.,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,2.8,07:19.70,07:22.50,ZOOM OUT SLOW · 4s,world_map_port
MARCA 5 - BORGES,148,"De hecho, la estructura química del oleocanal es muy similar",Vast Olive Grove at Sunset,6163120,3.4,07:22.50,07:25.90,STATIC,olive_grove_sunset
MARCA 5 - BORGES,149,"a la de ese fármaco antiinflamatorio, algo documentado por investigadores",Vast Olive Grove at Sunset,6163120,3.4,07:25.90,07:29.30,PAN LEFT · 4s,olive_grove_sunset
MARCA 5 - BORGES,150,del Monell Chemical Senses Center y publicado en la revista Nature en 2005.,Vast Olive Grove at Sunset,6163120,4.5,07:29.30,07:33.80,DIAGONAL PAN + ZOOM IN · 4s,olive_grove_sunset
MARCA 5 - BORGES,151,"Cuanto más reciente y menos procesado es el aceite, más oleocanal contiene.",Bottled Drink Production Line,5540686,4.1,07:33.80,07:37.90,ZOOM IN FAST · 2s,conveyor_bottles
MARCA 5 - BORGES,152,"Si tu aceite es suave, dulce y no te hace",Automated Beverage Bottling Line,5540725,3.4,07:37.90,07:41.30,PAN UP · 4s,bottling_line
MARCA 5 - BORGES,153,"toser ni una sola vez, eso no es sinónimo de calidad.",Automated Beverage Bottling Line,5540725,3.8,07:41.30,07:45.10,ZOOM IN SLOW · 4s,bottling_line
MARCA 5 - BORGES,154,"Es, casi siempre, sinónimo de lo contrario.",Scientist using pipette 4k,1864061,2.4,07:45.10,07:47.50,PAN RIGHT · 4s,lab_pipette
MARCA 4 - HACENDADO,155,Número 4.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,0.7,07:47.50,07:48.20,ZOOM OUT SLOW · 4s,shelf_oils
MARCA 4 - HACENDADO,156,Hacendado.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,0.3,07:48.20,07:48.50,STATIC,generic_shelf
MARCA 4 - HACENDADO,157,La marca blanca que no tiene que decirte quién la fabrica.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.8,07:48.50,07:52.30,PAN LEFT · 4s,network_anim
MARCA 4 - HACENDADO,158,"Hacendado es la marca propia de Mercadona, y Mercadona no fabrica aceite.",Automated Beverage Bottling Line,5540725,4.1,07:52.30,07:56.40,DIAGONAL PAN + ZOOM IN · 4s,bottling_line
MARCA 4 - HACENDADO,159,Lo produce a través de lo que la empresa llama,Close-up of a Bottle with Yellow Cap,3811676,3.4,07:56.40,07:59.80,ZOOM IN FAST · 2s,yellow_cap
MARCA 4 - HACENDADO,160,"""interproveedores"", fábricas asociadas que trabajan en exclusiva para ellos bajo",Close-up of a Bottle with Yellow Cap,3811676,3.4,07:59.80,08:03.20,PAN UP · 4s,yellow_cap
MARCA 4 - HACENDADO,161,contrato a largo plazo.,Close-up of a Bottle with Yellow Cap,3811676,1.4,08:03.20,08:04.60,ZOOM IN SLOW · 4s,yellow_cap
MARCA 4 - HACENDADO,162,"Ese modelo, a su favor, es más estable que el",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,08:04.60,08:08.00,PAN RIGHT · 4s,magnifier_doc
MARCA 4 - HACENDADO,163,de otras cadenas de supermercado que rotan de proveedor según,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,08:08.00,08:11.40,ZOOM OUT SLOW · 4s,magnifier_doc
MARCA 4 - HACENDADO,164,el precio cada trimestre.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,1.4,08:11.40,08:12.80,STATIC,magnifier_doc
MARCA 4 - HACENDADO,165,"Pero la parte que no cambia es esta: tú, como",Two bottles of olive oil and extra virgin olive,2310359,3.4,08:12.80,08:16.20,PAN LEFT · 4s,two_bottles_compare
MARCA 4 - HACENDADO,166,"comprador, no tienes forma de saber qué almazara, qué cooperativa",Two bottles of olive oil and extra virgin olive,2310359,3.4,08:16.20,08:19.60,DIAGONAL PAN + ZOOM IN · 4s,two_bottles_compare
MARCA 4 - HACENDADO,167,o qué mezcla de orígenes hay detrás de esa botella,Two bottles of olive oil and extra virgin olive,2310359,3.4,08:19.60,08:23.00,ZOOM IN FAST · 2s,two_bottles_compare
MARCA 4 - HACENDADO,168,con etiqueta negra y letras doradas.,Two bottles of olive oil and extra virgin olive,2310359,2.1,08:23.00,08:25.10,PAN UP · 4s,two_bottles_compare
MARCA 4 - HACENDADO,169,"Mercadona no está obligada a decírtelo, y no lo dice.",Shopping Cart in a Supermarket Aisle,6154249,3.4,08:25.10,08:28.50,ZOOM IN SLOW · 4s,cart_aisle
MARCA 4 - HACENDADO,170,La confianza que tienes en Hacendado no está construida sobre transparencia de origen.,"An empty grocery cart drives a grocery supermarket, time lapse",4244202,4.5,08:28.50,08:33.00,PAN RIGHT · 4s,cart_timelapse
MARCA 4 - HACENDADO,171,"Está construida sobre la reputación general de la cadena, que",Grocery store food price tag,6008763,3.4,08:33.00,08:36.40,ZOOM OUT SLOW · 4s,price_tag_grocery
MARCA 4 - HACENDADO,172,es una cosa completamente distinta.,Grocery store food price tag,6008763,1.7,08:36.40,08:38.10,STATIC,price_tag_grocery
MARCA 4 - HACENDADO,173,El Reglamento europeo 1169/2011 sobre información alimentaria al consumidor obliga,African American Woman Reading Label on Olive Oil Bottle,6935335,3.4,08:38.10,08:41.50,PAN LEFT · 4s,reading_label1
MARCA 4 - HACENDADO,174,a indicar el origen del aceite de oliva en la,African American Woman Reading Label on Olive Oil Bottle,6935335,3.4,08:41.50,08:44.90,DIAGONAL PAN + ZOOM IN · 4s,reading_label1
MARCA 4 - HACENDADO,175,"etiqueta, pero permite hacerlo con fórmulas genéricas como ""Unión Europea""",African American Woman Reading Label on Olive Oil Bottle,6935335,3.4,08:44.90,08:48.30,ZOOM IN FAST · 2s,reading_label1
MARCA 4 - HACENDADO,176,cuando el producto mezcla orígenes.,African American Woman Reading Label on Olive Oil Bottle,6935335,1.7,08:48.30,08:50.00,PAN UP · 4s,reading_label1
MARCA 4 - HACENDADO,177,Cumplir la ley y ser transparente con el consumidor no,A Vibrant Aisle of Colorful Products in a Modern Supermarket,6451901,3.4,08:50.00,08:53.40,ZOOM IN SLOW · 4s,aisle_colorful
MARCA 4 - HACENDADO,178,"son, en este caso, exactamente lo mismo.",A Vibrant Aisle of Colorful Products in a Modern Supermarket,6451901,2.4,08:53.40,08:55.80,PAN RIGHT · 4s,aisle_colorful
MARCA 4 - HACENDADO,179,"Esto importa especialmente en el aceite de oliva porque, a",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,08:55.80,08:59.20,ZOOM OUT SLOW · 4s,shelf_oils
MARCA 4 - HACENDADO,180,"diferencia de una lata de atún, aquí el origen determina",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,08:59.20,09:02.60,STATIC,shelf_oils
MARCA 4 - HACENDADO,181,"directamente el sabor, el precio justo y si de verdad",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,09:02.60,09:06.00,PAN LEFT · 4s,shelf_oils
MARCA 4 - HACENDADO,182,estás pagando por algo superior o por una versión bien,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,09:06.00,09:09.40,DIAGONAL PAN + ZOOM IN · 4s,shelf_oils
MARCA 4 - HACENDADO,183,empaquetada de lo mismo que se vende tres estantes más,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,09:09.40,09:12.80,ZOOM IN FAST · 2s,shelf_oils
MARCA 4 - HACENDADO,184,abajo con otro nombre.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,1.4,09:12.80,09:14.20,PAN UP · 4s,shelf_oils
MARCA 4 - HACENDADO,185,"Las marcas propias, en general, suelen venderse entre un veinte","Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,09:14.20,09:17.60,ZOOM IN SLOW · 4s,generic_shelf
MARCA 4 - HACENDADO,186,y un treinta por ciento más baratas que sus equivalentes,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,09:17.60,09:21.00,PAN RIGHT · 4s,generic_shelf
MARCA 4 - HACENDADO,187,"de marca reconocida, principalmente porque no cargan con presupuesto de","Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,09:21.00,09:24.40,ZOOM OUT SLOW · 4s,generic_shelf
MARCA 4 - HACENDADO,188,publicidad ni con el coste de mantener una marca visible.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,09:24.40,09:27.80,STATIC,generic_shelf
MARCA 4 - HACENDADO,189,Esa parte es honesta.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,1.4,09:27.80,09:29.20,PAN LEFT · 4s,network_anim
MARCA 4 - HACENDADO,190,La parte que no lo es tanto es que el,Automated Beverage Bottling Line,5540725,3.4,09:29.20,09:32.60,DIAGONAL PAN + ZOOM IN · 4s,bottling_line
MARCA 4 - HACENDADO,191,ahorro no viene acompañado de la misma información sobre el,Automated Beverage Bottling Line,5540725,3.4,09:32.60,09:36.00,ZOOM IN FAST · 2s,bottling_line
MARCA 4 - HACENDADO,192,origen que sí exige la ley a un producto con,Automated Beverage Bottling Line,5540725,3.4,09:36.00,09:39.40,PAN UP · 4s,bottling_line
MARCA 4 - HACENDADO,193,nombre propio bien posicionado.,Automated Beverage Bottling Line,5540725,1.4,09:39.40,09:40.80,ZOOM IN SLOW · 4s,bottling_line
MARCA 3 - YBARRA,194,Número 3.,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,0.7,09:40.80,09:41.50,PAN RIGHT · 4s,andalusia_street
MARCA 3 - YBARRA,195,Ybarra.,Close-up of a Bottle with Yellow Cap,3811676,0.3,09:41.50,09:41.80,ZOOM OUT SLOW · 4s,yellow_cap
MARCA 3 - YBARRA,196,El nombre con historia que vende dos productos bajo la misma confianza.,Two bottles of olive oil and extra virgin olive,2310359,4.1,09:41.80,09:45.90,STATIC,two_bottles_compare
MARCA 3 - YBARRA,197,"Ybarra lleva en Andalucía desde 1842, con sede en Dos Hermanas, Sevilla.",Traditional Olive Oil Production,5593361,4.1,09:45.90,09:50.00,PAN LEFT · 4s,stone_mill
MARCA 3 - YBARRA,198,"Es, junto a Carbonell, uno de los apellidos con más",Scientist using pipette 4k,1864061,3.4,09:50.00,09:53.40,DIAGONAL PAN + ZOOM IN · 4s,lab_pipette
MARCA 3 - YBARRA,199,peso histórico en el aceite español.,Scientist using pipette 4k,1864061,2.1,09:53.40,09:55.50,ZOOM IN FAST · 2s,lab_pipette
MARCA 3 - YBARRA,200,Ese peso es exactamente lo que hace más relevante lo,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,09:55.50,09:58.90,PAN UP · 4s,magnifier_doc
MARCA 3 - YBARRA,201,que vas a leer a continuación.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,2.1,09:58.90,10:01.00,ZOOM IN SLOW · 4s,magnifier_doc
MARCA 3 - YBARRA,202,"Ybarra vende, bajo el mismo nombre y en botellas de",Rotating Around Euros,6285,3.4,10:01.00,10:04.40,PAN RIGHT · 4s,euros_rotating
MARCA 3 - YBARRA,203,"diseño casi idéntico, tanto ""Aceite de oliva virgen extra"" como",Rotating Around Euros,6285,3.4,10:04.40,10:07.80,ZOOM OUT SLOW · 4s,euros_rotating
MARCA 3 - YBARRA,204,"simplemente ""Aceite de oliva"".",Rotating Around Euros,6285,1.4,10:07.80,10:09.20,STATIC,euros_rotating
MARCA 3 - YBARRA,205,Ya sabes lo que significa esa segunda etiqueta: aceite refinado,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,10:09.20,10:12.60,PAN LEFT · 4s,generic_shelf
MARCA 3 - YBARRA,206,—procesado con calor y disolventes para eliminar acidez y defectos—,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,10:12.60,10:16.00,DIAGONAL PAN + ZOOM IN · 4s,generic_shelf
MARCA 3 - YBARRA,207,mezclado después con un poco de virgen para recuperar algo de sabor.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,4.1,10:16.00,10:20.10,ZOOM IN FAST · 2s,generic_shelf
MARCA 3 - YBARRA,208,"Es un producto legal, seguro para consumir, y notablemente inferior",Waving Flag of Spain,8567147,3.4,10:20.10,10:23.50,PAN UP · 4s,spain_flag1
MARCA 3 - YBARRA,209,"en polifenoles, antioxidantes y sabor real de aceituna.",Waving Flag of Spain,8567147,2.8,10:23.50,10:26.30,ZOOM IN SLOW · 4s,spain_flag1
MARCA 3 - YBARRA,210,Estudios de organizaciones de consumidores en España han mostrado repetidamente,Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,3.4,10:26.30,10:29.70,PAN RIGHT · 4s,branches_wind2
MARCA 3 - YBARRA,211,que buena parte de los compradores no distingue entre estas,Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,3.4,10:29.70,10:33.10,ZOOM OUT SLOW · 4s,branches_wind2
MARCA 3 - YBARRA,212,"dos categorías al hacer la compra, y elige guiándose por",Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,3.4,10:33.10,10:36.50,STATIC,branches_wind2
MARCA 3 - YBARRA,213,"el apellido de la marca, no por la palabra impresa",Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,3.4,10:36.50,10:39.90,PAN LEFT · 4s,branches_wind2
MARCA 3 - YBARRA,214,justo debajo del nombre.,Spanish Olive Tree Branches Sway in Wind with Blue Sky,742110,1.4,10:39.90,10:41.30,DIAGONAL PAN + ZOOM IN · 4s,branches_wind2
MARCA 3 - YBARRA,215,El problema no es que Ybarra venda las dos versiones.,"Endless rows of olive trees around Cazorla village, Andalusia, Spain",666966,3.4,10:41.30,10:44.70,ZOOM IN FAST · 2s,cazorla_grove
MARCA 3 - YBARRA,216,Muchas marcas lo hacen.,Typical Spanish man harvesting olives with his dog and old tools,839038,1.4,10:44.70,10:46.10,PAN UP · 4s,spanish_harvest_dog
MARCA 3 - YBARRA,217,El problema es que la confianza que un comprador deposita,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,3.4,10:46.10,10:49.50,ZOOM IN SLOW · 4s,andalusia_street
MARCA 3 - YBARRA,218,en un apellido con casi dos siglos de historia se,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,3.4,10:49.50,10:52.90,PAN RIGHT · 4s,andalusia_street
MARCA 3 - YBARRA,219,"traslada, sin que nadie te lo explique en el lineal,","Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,3.4,10:52.90,10:56.30,ZOOM OUT SLOW · 4s,andalusia_street
MARCA 3 - YBARRA,220,de la botella premium a la básica.,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,2.4,10:56.30,10:58.70,STATIC,andalusia_street
MARCA 3 - YBARRA,221,Compras el nombre.,Close-up of a Bottle with Yellow Cap,3811676,1,10:58.70,10:59.70,PAN LEFT · 4s,yellow_cap
MARCA 3 - YBARRA,222,El nombre no te dice en cuál de las dos,Two bottles of olive oil and extra virgin olive,2310359,3.4,10:59.70,11:03.10,DIAGONAL PAN + ZOOM IN · 4s,two_bottles_compare
MARCA 3 - YBARRA,223,versiones estás pagando de más.,Two bottles of olive oil and extra virgin olive,2310359,1.7,11:03.10,11:04.80,ZOOM IN FAST · 2s,two_bottles_compare
MARCA 3 - YBARRA,224,"Ybarra, además, fabrica también mayonesa, kétchup y otras salsas bajo el mismo apellido.",Traditional Olive Oil Production,5593361,4.5,11:04.80,11:09.30,PAN UP · 4s,stone_mill
MARCA 3 - YBARRA,225,Esa diversificación funciona precisamente porque la confianza de un producto,Scientist using pipette 4k,1864061,3.4,11:09.30,11:12.70,ZOOM IN SLOW · 4s,lab_pipette
MARCA 3 - YBARRA,226,se contagia a los demás sin que el comprador se,Scientist using pipette 4k,1864061,3.4,11:12.70,11:16.10,PAN RIGHT · 4s,lab_pipette
MARCA 3 - YBARRA,227,pare a evaluar cada categoría por separado.,Scientist using pipette 4k,1864061,2.4,11:16.10,11:18.50,ZOOM OUT SLOW · 4s,lab_pipette
MARCA 3 - YBARRA,228,Es la misma mecánica que hace que la línea básica,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,11:18.50,11:21.90,STATIC,magnifier_doc
MARCA 3 - YBARRA,229,de aceite se beneficie de la reputación construida por la línea premium.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,4.1,11:21.90,11:26.00,PAN LEFT · 4s,magnifier_doc
MARCA 2 - HOJIBLANCA,230,Número 2.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,0.7,11:26.00,11:26.70,DIAGONAL PAN + ZOOM IN · 4s,shelf_oils
MARCA 2 - HOJIBLANCA,231,Hojiblanca.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,0.3,11:26.70,11:27.00,ZOOM IN FAST · 2s,network_anim
MARCA 2 - HOJIBLANCA,232,El otro competidor que no compite contigo.,Automated Beverage Bottling Line,5540725,2.4,11:27.00,11:29.40,PAN UP · 4s,bottling_line
MARCA 2 - HOJIBLANCA,233,Aquí volvemos al patrón que ya viste con Coosur y,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,11:29.40,11:32.80,ZOOM IN SLOW · 4s,generic_shelf
MARCA 2 - HOJIBLANCA,234,"La Española, pero con un jugador todavía más grande.","Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.1,11:32.80,11:35.90,PAN RIGHT · 4s,generic_shelf
MARCA 2 - HOJIBLANCA,235,"Hojiblanca pertenece a Deoleo, la mayor envasadora de aceite de",Close-up of a Bottle with Yellow Cap,3811676,3.4,11:35.90,11:39.30,ZOOM OUT SLOW · 4s,yellow_cap
MARCA 2 - HOJIBLANCA,236,"oliva del mundo, una compañía española que controla directamente algunas",Close-up of a Bottle with Yellow Cap,3811676,3.4,11:39.30,11:42.70,STATIC,yellow_cap
MARCA 2 - HOJIBLANCA,237,de las marcas más reconocidas del pasillo.,Close-up of a Bottle with Yellow Cap,3811676,2.4,11:42.70,11:45.10,PAN LEFT · 4s,yellow_cap
MARCA 2 - HOJIBLANCA,238,Deoleo no siempre se llamó así.,An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,2.1,11:45.10,11:47.20,DIAGONAL PAN + ZOOM IN · 4s,premium_bottle
MARCA 2 - HOJIBLANCA,239,"Hasta 2011 operaba como SOS Cuétara, un grupo que atravesó","Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.4,11:47.20,11:50.60,ZOOM IN FAST · 2s,world_map_port
MARCA 2 - HOJIBLANCA,240,una crisis financiera grave a finales de la década de,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.4,11:50.60,11:54.00,PAN UP · 4s,world_map_port
MARCA 2 - HOJIBLANCA,241,"2000, con una deuda enorme y un cambio forzado de dirección.","Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,3.8,11:54.00,11:57.80,ZOOM IN SLOW · 4s,world_map_port
MARCA 2 - HOJIBLANCA,242,"Tras esa reestructuración, la compañía se rebautizó como Deoleo y",Olive harvesting process,6277209,3.4,11:57.80,12:01.20,PAN RIGHT · 4s,harvest_process
MARCA 2 - HOJIBLANCA,243,continuó controlando el mismo puñado de marcas de aceite que,Olive harvesting process,6277209,3.4,12:01.20,12:04.60,ZOOM OUT SLOW · 4s,harvest_process
MARCA 2 - HOJIBLANCA,244,domina hoy el pasillo del supermercado.,Olive harvesting process,6277209,2.1,12:04.60,12:06.70,STATIC,harvest_process
MARCA 2 - HOJIBLANCA,245,Si en tu supermercado ves Hojiblanca junto a otra marca,Branches with young green olives swinging in the wind,222576,3.4,12:06.70,12:10.10,PAN LEFT · 4s,branches_wind1
MARCA 2 - HOJIBLANCA,246,de Deoleo y sientes que estás decidiendo entre dos filosofías,Branches with young green olives swinging in the wind,222576,3.4,12:10.10,12:13.50,DIAGONAL PAN + ZOOM IN · 4s,branches_wind1
MARCA 2 - HOJIBLANCA,247,"distintas de producción, no lo estás haciendo.",Branches with young green olives swinging in the wind,222576,2.4,12:13.50,12:15.90,ZOOM IN FAST · 2s,branches_wind1
MARCA 2 - HOJIBLANCA,248,Estás decidiendo entre dos etiquetas de la misma sala de,Spanish man harvesting olive trees in a sunny field by hand,1060909,3.4,12:15.90,12:19.30,PAN UP · 4s,spanish_harvest_hand
MARCA 2 - HOJIBLANCA,249,"embotellado, diseñadas para capturar a compradores distintos con el mismo",Spanish man harvesting olive trees in a sunny field by hand,1060909,3.4,12:19.30,12:22.70,ZOOM IN SLOW · 4s,spanish_harvest_hand
MARCA 2 - HOJIBLANCA,250,producto base ajustado en distintos grados de mezcla.,Spanish man harvesting olive trees in a sunny field by hand,1060909,2.8,12:22.70,12:25.50,PAN RIGHT · 4s,spanish_harvest_hand
MARCA 2 - HOJIBLANCA,251,Esto no convierte a Hojiblanca en un mal aceite.,Price tag for produce at a market,5303140,3.1,12:25.50,12:28.60,ZOOM OUT SLOW · 4s,price_tag3
MARCA 2 - HOJIBLANCA,252,"Convierte la decisión de ""cuál elijo"" en una pregunta mal",Olive oil can being kept on table in oil factory,2955969,3.4,12:28.60,12:32.00,STATIC,oil_can_factory
MARCA 2 - HOJIBLANCA,253,"planteada, porque las dos opciones que crees tener delante en",Olive oil can being kept on table in oil factory,2955969,3.4,12:32.00,12:35.40,PAN LEFT · 4s,oil_can_factory
MARCA 2 - HOJIBLANCA,254,realidad son una sola empresa hablando contigo dos veces.,Olive oil can being kept on table in oil factory,2955969,3.1,12:35.40,12:38.50,DIAGONAL PAN + ZOOM IN · 4s,oil_can_factory
MARCA 2 - HOJIBLANCA,255,"Fuera de España, Deoleo también controla la marca Bertolli en",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,12:38.50,12:41.90,ZOOM IN FAST · 2s,shelf_oils
MARCA 2 - HOJIBLANCA,256,"el segmento de aceite de oliva, uno de los nombres",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,12:41.90,12:45.30,PAN UP · 4s,shelf_oils
MARCA 2 - HOJIBLANCA,257,más reconocidos internacionalmente en el pasillo de aceites.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,2.8,12:45.30,12:48.10,ZOOM IN SLOW · 4s,shelf_oils
MARCA 2 - HOJIBLANCA,258,"El mismo grupo, las mismas plantas de producción, adaptando el","Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.4,12:48.10,12:51.50,PAN RIGHT · 4s,network_anim
MARCA 2 - HOJIBLANCA,259,nombre según el mercado en el que se vende cada botella.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.8,12:51.50,12:55.30,ZOOM OUT SLOW · 4s,network_anim
MARCA 2 - HOJIBLANCA,260,"Y la marca que completa ese trío —la más grande,",Automated Beverage Bottling Line,5540725,3.4,12:55.30,12:58.70,STATIC,bottling_line
MARCA 2 - HOJIBLANCA,261,"la más histórica, la que probablemente tienes en tu cocina",Automated Beverage Bottling Line,5540725,3.4,12:58.70,13:02.10,PAN LEFT · 4s,bottling_line
MARCA 2 - HOJIBLANCA,262,ahora mismo— es la que cierra esta lista.,Automated Beverage Bottling Line,5540725,2.8,13:02.10,13:04.90,DIAGONAL PAN + ZOOM IN · 4s,bottling_line
MARCA 1 - CARBONELL,263,Número 1.,"Traditional whitewashed houses with balconies and barred windows line a narrow cobblestone street, Andalusian village",5987261,0.7,13:04.90,13:05.60,ZOOM IN FAST · 2s,andalusia_street
MARCA 1 - CARBONELL,264,Carbonell.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,0.3,13:05.60,13:05.90,PAN UP · 4s,network_anim
MARCA 1 - CARBONELL,265,La marca más antigua de España vendiéndote su propia contradicción.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,13:05.90,13:09.30,ZOOM IN SLOW · 4s,shelf_oils
MARCA 1 - CARBONELL,266,Carbonell nació en Córdoba en 1866.,Close-up of a Bottle with Yellow Cap,3811676,2.1,13:09.30,13:11.40,PAN RIGHT · 4s,yellow_cap
MARCA 1 - CARBONELL,267,"Es, sin exagerar, el apellido más asociado al aceite de",Two bottles of olive oil and extra virgin olive,2310359,3.4,13:11.40,13:14.80,ZOOM OUT SLOW · 4s,two_bottles_compare
MARCA 1 - CARBONELL,268,oliva español dentro y fuera de España.,Two bottles of olive oil and extra virgin olive,2310359,2.4,13:14.80,13:17.20,STATIC,two_bottles_compare
MARCA 1 - CARBONELL,269,"También pertenece a Deoleo, el mismo grupo, antes llamado SOS",Traditional Olive Oil Production,5593361,3.4,13:17.20,13:20.60,PAN LEFT · 4s,stone_mill
MARCA 1 - CARBONELL,270,"Cuétara, que controla Hojiblanca y Koipe.",Traditional Olive Oil Production,5593361,2.1,13:20.60,13:22.70,DIAGONAL PAN + ZOOM IN · 4s,stone_mill
MARCA 1 - CARBONELL,271,"Tres nombres que parecen tres empresas y son, en la",Workshop with large stone wheel and old equipment for pressing olive oil,2537351,3.4,13:22.70,13:26.10,ZOOM IN FAST · 2s,olive_press_workshop
MARCA 1 - CARBONELL,272,"práctica, la misma estructura industrial vendiéndose en tres estanterías distintas del mismo pasillo.",Workshop with large stone wheel and old equipment for pressing olive oil,2537351,4.5,13:26.10,13:30.60,PAN UP · 4s,olive_press_workshop
MARCA 1 - CARBONELL,273,Pero la razón por la que Carbonell ocupa el número,Pouring pure Extra Virgin Olive Oil,606843,3.4,13:30.60,13:34.00,ZOOM IN SLOW · 4s,bottle_pouring
