Orden,Timeline,Sección,Ref. shot,Freepik ID,CapCut Motion,"URL de descarga (firmada, ~1h)"
65,(03:17.60-03:18.30),MARCA 6 - ROBINSON CRUSOE,rocky_island_aerial,6758697,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
66,(03:18.30-03:19.00),MARCA 6 - ROBINSON CRUSOE,canned_tuna_wood,2427530,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/29c77dfb-2743-453b-893e-a2bc0f3b2f38/horizontal/downloads/4k.mp4?filename=4863866_Package_Meat_3840x2160.mp4&user_id=102901249&token=exp=1785670257~id=102901249~hmac=031e5a3e2a467bf7084f98cc268a3ac04d04d0b29aa5beef8ceb302b4c02bc5f
67,(03:19.00-03:21.50),MARCA 6 - ROBINSON CRUSOE,world_map_lines,3071564,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
68,(03:21.50-03:25.40),MARCA 6 - ROBINSON CRUSOE,fishing_boat_galicia,2979449,STATIC,https://videocdn.cdnpk.net/videos/ac9fbe86-18af-40bc-b27e-5ee5ee7afa99/horizontal/downloads/original.mp4?filename=6634072_Fishing_Boat_Fishing_3840x2160.mp4&user_id=102901249&token=exp=1785670260~id=102901249~hmac=b4969d4b3f276db7be1eaffe1fc3323db15148c4660b76c26ee5178f88797df0
69,(03:25.40-03:29.00),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
70,(03:29.00-03:32.60),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
71,(03:32.60-03:36.50),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
72,(03:36.50-03:40.10),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,PAN UP · 4s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
73,(03:40.10-03:44.40),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
74,(03:44.40-03:48.00),MARCA 6 - ROBINSON CRUSOE,spain_flag1,8567147,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
75,(03:48.00-03:49.40),MARCA 6 - ROBINSON CRUSOE,spain_flag1,8567147,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
76,(03:49.40-03:53.00),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,STATIC,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
77,(03:53.00-03:56.60),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
78,(03:56.60-04:00.20),MARCA 6 - ROBINSON CRUSOE,rocky_island_aerial,6758697,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
79,(04:00.20-04:03.80),MARCA 6 - ROBINSON CRUSOE,rocky_island_aerial,6758697,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
80,(04:03.80-04:07.40),MARCA 6 - ROBINSON CRUSOE,rocky_island_aerial,6758697,PAN UP · 4s,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
81,(04:07.40-04:11.70),MARCA 6 - ROBINSON CRUSOE,rocky_island_aerial,6758697,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/98e53a3d-f67b-5cc8-bd62-72922ea1643a/horizontal/downloads/4k.mp4?filename=0_Aerial_Aerial_View_3840x2160.mp4&user_id=102901249&token=exp=1785670242~id=102901249~hmac=1bef17d67d6719fc36ce447a9303f83d939a8a8bf645ddf58b9f1f4e79c44d6c
82,(04:11.70-04:14.90),MARCA 6 - ROBINSON CRUSOE,canned_tuna_wood,2427530,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/29c77dfb-2743-453b-893e-a2bc0f3b2f38/horizontal/downloads/4k.mp4?filename=4863866_Package_Meat_3840x2160.mp4&user_id=102901249&token=exp=1785670257~id=102901249~hmac=031e5a3e2a467bf7084f98cc268a3ac04d04d0b29aa5beef8ceb302b4c02bc5f
83,(04:14.90-04:18.50),MARCA 6 - ROBINSON CRUSOE,world_map_lines,3071564,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
84,(04:18.50-04:22.10),MARCA 6 - ROBINSON CRUSOE,world_map_lines,3071564,STATIC,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
85,(04:22.10-04:25.70),MARCA 6 - ROBINSON CRUSOE,world_map_lines,3071564,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
86,(04:25.70-04:29.60),MARCA 6 - ROBINSON CRUSOE,world_map_lines,3071564,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
87,(04:29.60-04:33.20),MARCA 6 - ROBINSON CRUSOE,fishing_boat_galicia,2979449,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/ac9fbe86-18af-40bc-b27e-5ee5ee7afa99/horizontal/downloads/original.mp4?filename=6634072_Fishing_Boat_Fishing_3840x2160.mp4&user_id=102901249&token=exp=1785670260~id=102901249~hmac=b4969d4b3f276db7be1eaffe1fc3323db15148c4660b76c26ee5178f88797df0
88,(04:33.20-04:36.80),MARCA 6 - ROBINSON CRUSOE,fishing_boat_galicia,2979449,PAN UP · 4s,https://videocdn.cdnpk.net/videos/ac9fbe86-18af-40bc-b27e-5ee5ee7afa99/horizontal/downloads/original.mp4?filename=6634072_Fishing_Boat_Fishing_3840x2160.mp4&user_id=102901249&token=exp=1785670260~id=102901249~hmac=b4969d4b3f276db7be1eaffe1fc3323db15148c4660b76c26ee5178f88797df0
89,(04:36.80-04:41.40),MARCA 6 - ROBINSON CRUSOE,fishing_boat_galicia,2979449,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/ac9fbe86-18af-40bc-b27e-5ee5ee7afa99/horizontal/downloads/original.mp4?filename=6634072_Fishing_Boat_Fishing_3840x2160.mp4&user_id=102901249&token=exp=1785670260~id=102901249~hmac=b4969d4b3f276db7be1eaffe1fc3323db15148c4660b76c26ee5178f88797df0
90,(04:41.40-04:45.00),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
91,(04:45.00-04:48.60),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
92,(04:48.60-04:52.20),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,STATIC,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
93,(04:52.20-04:55.80),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
94,(04:55.80-04:57.20),MARCA 6 - ROBINSON CRUSOE,factory_workers_pink,8083967,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
95,(04:57.20-05:00.80),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
96,(05:00.80-05:04.40),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,PAN UP · 4s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
97,(05:04.40-05:08.00),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
98,(05:08.00-05:09.40),MARCA 6 - ROBINSON CRUSOE,chile_flag,3091163,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
99,(05:09.40-05:13.00),MARCA 6 - ROBINSON CRUSOE,spain_flag1,8567147,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
100,(05:13.00-05:16.60),MARCA 6 - ROBINSON CRUSOE,spain_flag1,8567147,STATIC,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
101,(05:16.60-05:20.90),MARCA 6 - ROBINSON CRUSOE,spain_flag1,8567147,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/a5b30d16-c13e-563e-a07b-bd7d2093ebf1/horizontal/downloads/original.mp4?filename=0_Spain_Flag_3840x2160.mp4&user_id=102901249&token=exp=1785670209~id=102901249~hmac=d9662c6d59149e45fe430a6500ea09b3824fa9216338dc074cddc1cc78761737
102,(05:20.90-05:24.50),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
103,(05:24.50-05:28.10),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
104,(05:28.10-05:31.70),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,PAN UP · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
105,(05:31.70-05:36.30),MARCA 6 - ROBINSON CRUSOE,network_converge,4721014,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
106,(05:36.30-05:37.00),MARCA 5 - ISABEL,world_map_network,1948107,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
107,(05:37.00-05:37.40),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
108,(05:37.40-05:41.00),MARCA 5 - ISABEL,network_converge,4721014,STATIC,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
109,(05:41.00-05:43.90),MARCA 5 - ISABEL,network_converge,4721014,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
110,(05:43.90-05:47.10),MARCA 5 - ISABEL,magnifier_doc,8534240,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
111,(05:47.10-05:50.70),MARCA 5 - ISABEL,reading_glass_files,2082900,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
112,(05:50.70-05:54.60),MARCA 5 - ISABEL,reading_glass_files,2082900,PAN UP · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
113,(05:54.60-05:58.20),MARCA 5 - ISABEL,warning_icon,5695539,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/5fd990c2-531f-5f08-b745-c06d60500e47/horizontal/downloads/original.mp4?filename=0_Icon_Alert_4096x2304.mp4&user_id=102901249&token=exp=1785670268~id=102901249~hmac=455b6c90a8118307b0e3eb10731432bd03a07546cdc59860335c61768aaf3f5a
114,(05:58.20-06:02.50),MARCA 5 - ISABEL,warning_icon,5695539,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/5fd990c2-531f-5f08-b745-c06d60500e47/horizontal/downloads/original.mp4?filename=0_Icon_Alert_4096x2304.mp4&user_id=102901249&token=exp=1785670268~id=102901249~hmac=455b6c90a8118307b0e3eb10731432bd03a07546cdc59860335c61768aaf3f5a
115,(06:02.50-06:06.10),MARCA 5 - ISABEL,two_cans_compare,3680436,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
116,(06:06.10-06:09.70),MARCA 5 - ISABEL,two_cans_compare,3680436,STATIC,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
117,(06:09.70-06:13.30),MARCA 5 - ISABEL,two_cans_compare,3680436,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
118,(06:13.30-06:16.90),MARCA 5 - ISABEL,two_cans_compare,3680436,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
119,(06:16.90-06:19.40),MARCA 5 - ISABEL,two_cans_compare,3680436,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
120,(06:19.40-06:23.00),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,PAN UP · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
121,(06:23.00-06:24.80),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
122,(06:24.80-06:28.40),MARCA 5 - ISABEL,world_map_network,1948107,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
123,(06:28.40-06:32.00),MARCA 5 - ISABEL,world_map_network,1948107,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
124,(06:32.00-06:34.10),MARCA 5 - ISABEL,world_map_network,1948107,STATIC,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
125,(06:34.10-06:37.70),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
126,(06:37.70-06:41.30),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
127,(06:41.30-06:44.20),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
